phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
s,ç,9929,0.01,accoinçon,accoinçons,agaça
s,s,253146,0.43,aaronisme,aaronismes,aasax
s,sc,4624,0.0,abscise,abscises,abscision
s,th,103,0.0,chrestomathie,chrestomathies,classpath
s,x,348,0.0,antisoixantehuitard,antisoixantehuitards,auxerrois
s,cc,48,0.0,accensa,accensai,accensaient
s,ce,3494,0.0,abayance,aberrance,abjuratrice
s,sç,103,0.0,acquiesça,acquiesçable,acquiesçables
s,se,1132,0.0,abaisse,abaissemens,abaissement
s,ss,112565,0.19,abadassiez,abadassions,abaissassiez
s,sse,31379,0.05,abadasse,abaissasse,abalasse
s,sth,91,0.0,antiasthmatique,antiasthmatiques,asthmata
s,t,23795,0.04,abaliénation,abaliénations,abannation
s,z,388,0.0,abertzale,abertzales,adichatz
s,cent,415,0.0,agacent,agencent,agoucent
s,ces,2063,0.0,abayances,aberrances,abjuratrices
s,sce,13,0.0,acquiesce,acquiescemens,acquiescement
s,scent,7,0.0,acquiescent,concupiscent,fascent
s,sces,8,0.0,acquiesces,concupisces,drosces
s,sent,347,0.0,abaissent,absconsent,accensent
s,ses,745,0.0,abaisses,abbesses,absconses
s,ssent,29339,0.05,abadassent,abaissassent,abalassent
s,sses,29346,0.05,abadasses,abaissasses,abalasses
s,ths,2,0.0,classpaths,smithsonites,
s,tz,2,0.0,anetziens,trénitz,
ʁ,r,1304822,0.94,aakérite,aakérites,aari
ʁ,rh,101,0.0,amblyrhynque,amblyrhynques,arhats
ʁ,rr,20031,0.01,aberra,aberrai,aberraient
ʁ,r’,2243,0.0,entr’-,entr’abat,entr’abattaient
ʁ,rc,10,0.0,arcticisation,arctique,clerc
ʁ,re,13076,0.0,abampère,abandonnataire,abandonware
ʁ,rre,517,0.0,abarrejadis,aberre,abhorre
ʁ,rrh,117,0.0,adiarrhée,adiarrhées,aménorrhée
ʁ,rrhe,14,0.0,anticatarrhe,arrhe,arrhemens
ʁ,rt,852,0.0,accort,accourt,acquiert
ʁ,gh,7,0.0,amazighiste,amazighistes,amazighité
ʁ,rcs,3,0.0,clercs,marcs,porcs
ʁ,rd,925,0.0,abeillard,abord,académisard
ʁ,rds,566,0.0,abeillards,abords,académisards
ʁ,rent,30635,0.02,abadèrent,abaissèrent,abaliénèrent
