Mot,Prononciation,Type,Warn_code,Warn_label
amha,a mɔ̃.n‿œ̃.bl‿a.vi,adverbe,-,-
amodiable,a.mɔ.njabl,adjectif,-,-
amoebien,a.mɛ.bjɛ̃,nom,-,-
amorceuse,a.mɔʁ.sœʁ,adjectif_flexion,-,-
amphihexaèdre,ɑ̃.fi.ɛɡ.za.ɛdr,nom,err_phonemes,r
amstaffs,am.staf,nom_flexion,-,-
amygdaliformes,a.miɡ.dal.li.fɔʁm,adjectif_flexion,-,-
amân,a.mɑ̃,nom,-,-
amâns,a.mɑ̃,nom_flexion,-,-
américanisante,a.me.ʁi.ka.ni.zɑ̃,adjectif_flexion,-,-
américanisantes,a.me.ʁi.ka.ni.zɑ̃,adjectif_flexion,-,-
anaclétique,a.na.klek.tik,adjectif,-,-
anaclétiques,a.na.klek.tik,adjectif_flexion,-,-
anacéphaléose,a.na.se.fa.loz,nom,-,-
anagyrine,a.naʁ.ʒin,nom,-,-
anamnétique,a.nam.me.tik,nom,-,-
anamnétique,a.nam.me.tik,adjectif,-,-
anaphonèse,a.na.fɔ.ʁɛz,nom,-,-
ancyloblépharon,ɑ̃.si.klo.ble.fa.ʁɔ̃,nom,-,-
ancymidole,a.si.mi.dɔl,nom,-,-
ancônitaine,ɑ̃.kɔ.ni.tɛ̃n,adjectif_flexion,-,-
ancônitaines,ɑ̃.kɔ.ni.tɛ̃n,adjectif_flexion,-,-
andreinais,ɑ̃.dʁɛ̃.nɛ,adjectif,-,-
androdamas,ɑ̃.dʁo.ma.da,nom,-,-
androgenèses,ɑ.dʁɔ.ʒe.nɛz,nom_flexion,-,-
androgynéités,ɑ̃.dʁɔ.ʒi.nɛ.i.tɛ,nom_flexion,-,-
andromorphose,ɑ.dʁɔ.mɔʁ.fɔz,nom,-,-
andromorphoses,ɑ.dʁɔ.mɔʁ.fɔz,nom_flexion,-,-
androsphinx,ɑ.dʁɔ.sfɛ̃ks,nom,-,-
andrôn,ɑ̃.dʁɔ̃,nom,-,-
andrôns,ɑ̃.dʁɔ̃,nom_flexion,-,-
aneut,a.nœ,adverbe,-,-
angioléiomyome,ɑ̃.ʒjɔ.le.i.mjom,nom,-,-
angiscope,ɑ̃.ʒjɔ.skɔp,nom,-,-
anglo,ˈɑ̃.ɡlo,nom,-,-
angström,ɑ̃ɡ.stʁœm,nom,err_letters,ö
angströms,ɑ̃ɡ.stʁœm,nom_flexion,err_letters,ö
anhélation,an.ʔe.la.sjɔ̃,nom,err_phonemes,ʔ
anidrose,a.ni.droz,nom,err_phonemes,r
anma,a.ma,nom,-,-
